UTC,latitude,longitude,CTEratio
766800,44.76770020,-12.72151184,0.04998272
770400,44.75291061,-12.75910568,0.05000860
774000,44.73833847,-12.79682255,0.04997737
777600,44.72355270,-12.83440304,0.04999687
781200,44.70897675,-12.87210274,0.04996104
784800,44.69422150,-12.90966129,0.04996726
788400,44.67943573,-12.94720554,0.04997647
792000,44.66465759,-12.98474407,0.04998220
795600,44.64988327,-13.02226830,0.04998357
799200,44.63509750,-13.05978680,0.04998191
802800,44.62031555,-13.09729481,0.04997822
806400,44.60555649,-13.13479710,0.04996600
810000,44.59075928,-13.17228985,0.04995941
813600,44.57577133,-13.20964718,0.04999504
817200,44.56099319,-13.24711609,0.04997737
820800,44.54724884,-13.28517437,0.04971094
824400,44.53582001,-13.32454872,0.04888758
828000,44.52428436,-13.36386967,0.04808647
831600,44.51242065,-13.40302849,0.04735796
835200,44.50056076,-13.44209480,0.04663090
838800,44.48868942,-13.48124313,0.04589716
842400,44.47681808,-13.52038002,0.04515905
846000,44.46494293,-13.55951309,0.04441955
849600,44.45307541,-13.59864044,0.04367421
853200,44.44120026,-13.63775253,0.04292781
856800,44.42905045,-13.67671490,0.04224210
860400,44.41672897,-13.71559143,0.04159331
864000,44.40443802,-13.75446701,0.04093412
867600,44.39213181,-13.79333973,0.04027427
871200,44.37983322,-13.83219814,0.03961070
874800,44.36751938,-13.87105179,0.03894754
878400,44.35522842,-13.90990257,0.03827549
882000,44.34292603,-13.94874287,0.03760139
885600,44.33033371,-13.98742867,0.03699291
889200,44.31761551,-14.02602863,0.03641229
892800,44.30490112,-14.06461525,0.03582736
896400,44.29219055,-14.10319519,0.03523740
900000,44.27948761,-14.14176846,0.03464439
903600,44.26679611,-14.18033218,0.03404508
907200,44.25410080,-14.21889019,0.03344313
910800,44.24139786,-14.25744247,0.03283958
914400,44.22861862,-14.29594612,0.03225076
918000,44.21546936,-14.33425140,0.03174571
921600,44.20231628,-14.37254810,0.03123689
925200,44.18917847,-14.41084194,0.03072192
928800,44.17604065,-14.44911861,0.03020622
932400,44.16290665,-14.48739433,0.02968436
936000,44.14976883,-14.52566242,0.02915979
939600,44.13664246,-14.56391811,0.02863118
943200,44.12351227,-14.60215759,0.02809958
946800,44.11037827,-14.64038086,0.02756766
950400,44.09687424,-14.67837048,0.02712167
954000,44.08334351,-14.71633911,0.02667751
957600,44.06978989,-14.75430298,0.02623461
961200,44.05562592,-14.79183865,0.02594060
964800,44.04106903,-14.82909584,0.02573990
968400,44.02649689,-14.86634350,0.02553852
972000,44.01193237,-14.90358162,0.02533391
975600,43.99737167,-14.94081497,0.02512477
979200,43.98260117,-14.97789955,0.02496421
982800,43.96803284,-15.01511574,0.02474972
986400,43.95346451,-15.05232334,0.02453176
990000,43.93870926,-15.08938408,0.02435984
993600,43.92414093,-15.12657738,0.02413559
997200,43.90955734,-15.16376114,0.02391197
1.0008e+06,43.89479446,-15.20079899,0.02373110
1.0044e+06,43.88003922,-15.23782921,0.02354530
1.008e+06,43.86548996,-15.27497005,0.02330699
1.0116e+06,43.85072708,-15.31196404,0.02311743
1.0152e+06,43.83595657,-15.34894943,0.02292692
1.0188e+06,43.82117844,-15.38592815,0.02273476
1.0224e+06,43.80641556,-15.42289639,0.02253530
1.026e+06,43.79165649,-15.45986176,0.02233340
1.0296e+06,43.77688217,-15.49681664,0.02213096
1.0332e+06,43.76213074,-15.53376102,0.02192104
1.0368e+06,43.74736786,-15.57070160,0.02170901
1.0404e+06,43.73260117,-15.60762978,0.02149689
1.044e+06,43.71781921,-15.64455318,0.02128304
1.0476e+06,43.70286560,-15.68133259,0.02110934
1.0512e+06,43.68808746,-15.71823597,0.02088997
1.0548e+06,43.67314148,-15.75500107,0.02070942
1.0584e+06,43.65837097,-15.79188919,0.02048059
1.062e+06,43.64337158,-15.82863522,0.02030424
1.0656e+06,43.62858963,-15.86551380,0.02007293
1.0692e+06,43.61359406,-15.90222740,0.01989057
1.0728e+06,43.59860611,-15.93893242,0.01970207
1.0764e+06,43.58366776,-15.97565556,0.01950206
1.08e+06,43.56885529,-16.01247025,0.01926599
1.0836e+06,43.55387115,-16.04916382,0.01906729
1.0872e+06,43.53890610,-16.08584213,0.01886390
1.0908e+06,43.52392960,-16.12252045,0.01865926
1.0944e+06,43.50893402,-16.15918350,0.01845475
1.098e+06,43.49378204,-16.19572639,0.01828656
1.1016e+06,43.47885513,-16.23241806,0.01806027
1.1052e+06,43.46368408,-16.26890564,0.01789283
1.1088e+06,43.44869232,-16.30553627,0.01767621
1.1124e+06,43.43370819,-16.34214973,0.01745489
1.116e+06,43.41854095,-16.37860489,0.01727832
1.1196e+06,43.40357208,-16.41520691,0.01704831
1.1232e+06,43.38838577,-16.45165443,0.01686831
1.1268e+06,43.37338638,-16.48823738,0.01663761
1.1304e+06,43.35821915,-16.52466965,0.01644850
1.134e+06,43.34304810,-16.56107140,0.01625792
